,total_vs_impval,direct_vs_impval,indirect_vs_impval
AUS,"{'correlation': np.float64(0.38204024981598733), 'p_value': np.float64(0.013705119142343996)}","{'correlation': np.float64(0.39441703545761697), 'p_value': np.float64(0.01071730825560688)}","{'correlation': np.float64(0.2472537992875719), 'p_value': np.float64(0.11910389033332348)}"
AUT,"{'correlation': np.float64(0.2563209343813333), 'p_value': np.float64(0.1057373849388387)}","{'correlation': np.float64(0.42887727191100306), 'p_value': np.float64(0.005144378297754324)}","{'correlation': np.float64(0.048997403102826305), 'p_value': np.float64(0.7609627149066067)}"
AZE,"{'correlation': np.float64(0.2581086653430601), 'p_value': np.float64(0.18480159930940424)}","{'correlation': np.float64(0.3587076112936719), 'p_value': np.float64(0.06086237589720143)}","{'correlation': np.float64(0.18968112946207913), 'p_value': np.float64(0.33366796933483245)}"
BDI,"{'correlation': np.float64(0.5476190476190477), 'p_value': np.float64(0.1600256425388966)}","{'correlation': np.float64(0.5476190476190477), 'p_value': np.float64(0.1600256425388966)}","{'correlation': np.float64(0.523809523809524), 'p_value': np.float64(0.18272075053971484)}"
BEL,"{'correlation': np.float64(0.43137139286608656), 'p_value': np.float64(0.004341263601465526)}","{'correlation': np.float64(0.4610586110944275), 'p_value': np.float64(0.0021194173906151537)}","{'correlation': np.float64(0.24262612202212167), 'p_value': np.float64(0.12157902736637442)}"
BEN,"{'correlation': np.float64(0.510989010989011), 'p_value': np.float64(0.07432891414402144)}","{'correlation': np.float64(0.6538461538461539), 'p_value': np.float64(0.015348516732105476)}","{'correlation': np.float64(0.38461538461538464), 'p_value': np.float64(0.19441291997748622)}"
BFA,"{'correlation': np.float64(0.45738819142680365), 'p_value': np.float64(0.06489378238879685)}","{'correlation': np.float64(0.445125773426085), 'p_value': np.float64(0.07337866898764774)}","{'correlation': np.float64(0.35683636382091116), 'p_value': np.float64(0.1597230305882632)}"
BGD,"{'correlation': np.float64(0.7367070535667296), 'p_value': np.float64(1.5280903299038132e-06)}","{'correlation': np.float64(0.7807114569654392), 'p_value': np.float64(1.3585983067359852e-07)}","{'correlation': np.float64(0.5878254887344289), 'p_value': np.float64(0.00040357231632079057)}"
BGR,"{'correlation': np.float64(0.5986425245511591), 'p_value': np.float64(7.180062804649084e-05)}","{'correlation': np.float64(0.5955748999885172), 'p_value': np.float64(7.99085307774091e-05)}","{'correlation': np.float64(0.45149995816550464), 'p_value': np.float64(0.004436510666060246)}"
BHR,"{'correlation': np.float64(0.4932256786301105), 'p_value': np.float64(0.007653791292320152)}","{'correlation': np.float64(0.5805039205668583), 'p_value': np.float64(0.00120123663182651)}","{'correlation': np.float64(0.25290817261610554), 'p_value': np.float64(0.19412246248891155)}"
BHS,"{'correlation': np.float64(0.008066142367412783), 'p_value': np.float64(0.9656493764298629)}","{'correlation': np.float64(0.3977811578957218), 'p_value': np.float64(0.026685169939872914)}","{'correlation': np.float64(-0.17443032869530142), 'p_value': np.float64(0.34798811564367826)}"
BIH,"{'correlation': np.float64(0.6546995288620912), 'p_value': np.float64(6.443942934198246e-05)}","{'correlation': np.float64(0.7372354913880215), 'p_value': np.float64(2.2385048405194273e-06)}","{'correlation': np.float64(0.5074627278549049), 'p_value': np.float64(0.003568932746096533)}"
BLR,"{'correlation': np.float64(0.3815628815628816), 'p_value': np.float64(0.04954563803219392)}","{'correlation': np.float64(0.524805379339851), 'p_value': np.float64(0.00494627968230984)}","{'correlation': np.float64(0.0231990231990232), 'p_value': np.float64(0.9085586589292384)}"
BLZ,"{'correlation': np.float64(0.545417887639237), 'p_value': np.float64(0.0015073759256480023)}","{'correlation': np.float64(0.6797096156085173), 'p_value': np.float64(2.6053996379887362e-05)}","{'correlation': np.float64(0.2764391585779645), 'p_value': np.float64(0.13221885003757858)}"
BMU,"{'correlation': np.float64(0.5477976635281755), 'p_value': np.float64(0.004587946995100694)}","{'correlation': np.float64(0.5490573297422084), 'p_value': np.float64(0.004476558749640244)}","{'correlation': np.float64(0.3927678472347381), 'p_value': np.float64(0.05211737457941615)}"
BOL,"{'correlation': np.float64(0.29623862271683565), 'p_value': np.float64(0.11193960906691153)}","{'correlation': np.float64(0.5362332169634777), 'p_value': np.float64(0.0022544229276613235)}","{'correlation': np.float64(0.0972624178266395), 'p_value': np.float64(0.6091362419051893)}"
BRA,"{'correlation': np.float64(0.1441047645500551), 'p_value': np.float64(0.3565611610463221)}","{'correlation': np.float64(0.23610178560384973), 'p_value': np.float64(0.127448260523114)}","{'correlation': np.float64(0.055948334610199775), 'p_value': np.float64(0.7215812601051768)}"
BRB,"{'correlation': np.float64(0.2882002781249676), 'p_value': np.float64(0.1448926060018912)}","{'correlation': np.float64(0.44899214241828017), 'p_value': np.float64(0.018809543964688508)}","{'correlation': np.float64(0.15631201525421975), 'p_value': np.float64(0.43622008834599824)}"
BRN,"{'correlation': np.float64(0.2207792207792208), 'p_value': np.float64(0.3234691059087892)}","{'correlation': np.float64(0.7278373800112932), 'p_value': np.float64(0.00012334699081254796)}","{'correlation': np.float64(0.0028232636928289105), 'p_value': np.float64(0.9900512231067919)}"
BTN,"{'correlation': np.float64(0.17362637362637365), 'p_value': np.float64(0.5527669411422413)}","{'correlation': np.float64(0.5384615384615385), 'p_value': np.float64(0.04697614585955518)}","{'correlation': np.float64(-0.1384615384615385), 'p_value': np.float64(0.6368849912650183)}"
BWA,"{'correlation': np.float64(0.3076923076923077), 'p_value': np.float64(0.3305892594121097)}","{'correlation': np.float64(0.31468531468531474), 'p_value': np.float64(0.31913878550330455)}","{'correlation': np.float64(0.2447552447552448), 'p_value': np.float64(0.4432619364501832)}"
CAF,"{'correlation': np.float64(0.07040708330888923), 'p_value': np.float64(0.8109711668007065)}","{'correlation': np.float64(0.09556145459285201), 'p_value': np.float64(0.7452065162695056)}","{'correlation': np.float64(0.017601770827222307), 'p_value': np.float64(0.9523760514750448)}"
CAN,"{'correlation': np.float64(0.24859205972748225), 'p_value': np.float64(0.10795798207911557)}","{'correlation': np.float64(0.3093175235944998), 'p_value': np.float64(0.04355376107355515)}","{'correlation': np.float64(0.14818748085944808), 'p_value': np.float64(0.34295329199262914)}"
CCK,"{'correlation': np.float64(0.40833851942392924), 'p_value': np.float64(0.10368710535249617)}","{'correlation': np.float64(0.4009810686234981), 'p_value': np.float64(0.1106804365028413)}","{'correlation': np.float64(0.288166823016887), 'p_value': np.float64(0.2620138275183068)}"
CHE,"{'correlation': np.float64(0.4387556661450207), 'p_value': np.float64(0.0036534826016440037)}","{'correlation': np.float64(0.5265180510349081), 'p_value': np.float64(0.0003412569827625057)}","{'correlation': np.float64(0.26802477626724674), 'p_value': np.float64(0.08613720124718392)}"
CHL,"{'correlation': np.float64(0.3970342686059753), 'p_value': np.float64(0.010162434617614931)}","{'correlation': np.float64(0.5532473038825504), 'p_value': np.float64(0.00017568862994314196)}","{'correlation': np.float64(0.1632281073526214), 'p_value': np.float64(0.30786747842815293)}"
CHN,"{'correlation': np.float64(0.6660119994341214), 'p_value': np.float64(1.092472732645512e-06)}","{'correlation': np.float64(0.7720961638304404), 'p_value': np.float64(1.3382061787813812e-09)}","{'correlation': np.float64(0.1878805560896574), 'p_value': np.float64(0.22762825549873453)}"
CIV,"{'correlation': np.float64(0.28998778998779), 'p_value': np.float64(0.1423048027933364)}","{'correlation': np.float64(0.6453976567332432), 'p_value': np.float64(0.0002777464393965302)}","{'correlation': np.float64(0.12026862026862026), 'p_value': np.float64(0.5501478713750526)}"
CMR,"{'correlation': np.float64(0.47382522003732375), 'p_value': np.float64(0.005345500531473347)}","{'correlation': np.float64(0.609977419697283), 'p_value': np.float64(0.00016406683763120752)}","{'correlation': np.float64(0.2560629763067923), 'p_value': np.float64(0.1503320625645178)}"
COD,"{'correlation': np.float64(0.3223076923076923), 'p_value': np.float64(0.11611273112778325)}","{'correlation': np.float64(0.5335641568213337), 'p_value': np.float64(0.006017916696328645)}","{'correlation': np.float64(0.1423076923076923), 'p_value': np.float64(0.4974060918481682)}"
COG,"{'correlation': np.float64(0.03199174406604747), 'p_value': np.float64(0.8997186782888817)}","{'correlation': np.float64(0.2003097840506941), 'p_value': np.float64(0.4254752598253613)}","{'correlation': np.float64(-0.2652218782249742), 'p_value': np.float64(0.2874842429174512)}"
COK,"{'correlation': np.float64(0.39614893047412525), 'p_value': np.float64(0.18023500576649443)}","{'correlation': np.float64(0.40165099895293255), 'p_value': np.float64(0.1737095959715191)}","{'correlation': np.float64(-0.02200827391522918), 'p_value': np.float64(0.9431081531400504)}"
COL,"{'correlation': np.float64(0.48785225885401323), 'p_value': np.float64(0.0012142178388264875)}","{'correlation': np.float64(0.4844411047429222), 'p_value': np.float64(0.0013293922318514046)}","{'correlation': np.float64(0.3988663318098263), 'p_value': np.float64(0.009788806544017335)}"
COM,"{'correlation': np.float64(0.8060606060606059), 'p_value': np.float64(0.004862061101964606)}","{'correlation': np.float64(0.7939393939393938), 'p_value': np.float64(0.0060999233136969115)}","{'correlation': np.float64(0.5878787878787878), 'p_value': np.float64(0.07387770688865801)}"
CPV,"{'correlation': np.float64(0.5431079711889953), 'p_value': np.float64(0.019847248731671777)}","{'correlation': np.float64(0.5367126267407717), 'p_value': np.float64(0.021648215353492827)}","{'correlation': np.float64(0.40681471606171893), 'p_value': np.float64(0.09384894795991015)}"
CRI,"{'correlation': np.float64(0.3585171675830462), 'p_value': np.float64(0.02310675442974514)}","{'correlation': np.float64(0.5039236317116967), 'p_value': np.float64(0.0009160013240322616)}","{'correlation': np.float64(0.08221493162375615), 'p_value': np.float64(0.6140226321815703)}"
CUW,"{'correlation': np.float64(0.07747273958932765), 'p_value': np.float64(0.7454474593240564)}","{'correlation': np.float64(0.23471865232814473), 'p_value': np.float64(0.3191959471751871)}","{'correlation': np.float64(-0.06844678934591084), 'p_value': np.float64(0.7743193150209622)}"
CXR,"{'correlation': np.float64(0.5536036669087605), 'p_value': np.float64(0.01393116640597383)}","{'correlation': np.float64(0.6010554097866543), 'p_value': np.float64(0.0064928278506594765)}","{'correlation': np.float64(0.21089663501286113), 'p_value': np.float64(0.3861192894639274)}"
CYM,"{'correlation': np.float64(0.3809198209202968), 'p_value': np.float64(0.05487216320454069)}","{'correlation': np.float64(0.44030116362184546), 'p_value': np.float64(0.02437956467111417)}","{'correlation': np.float64(0.15045307109957862), 'p_value': np.float64(0.463177368419352)}"
CYP,"{'correlation': np.float64(0.44600470563617284), 'p_value': np.float64(0.009282269076440986)}","{'correlation': np.float64(0.5610164138362055), 'p_value': np.float64(0.0006829267396606513)}","{'correlation': np.float64(0.10932799006224027), 'p_value': np.float64(0.5447504032392261)}"
CZE,"{'correlation': np.float64(0.43117389899446495), 'p_value': np.float64(0.0054744067933057425)}","{'correlation': np.float64(0.5500594704531555), 'p_value': np.float64(0.00023608515045689434)}","{'correlation': np.float64(0.07680754559613945), 'p_value': np.float64(0.6375931537736015)}"
DEU,"{'correlation': np.float64(0.29728223200987236), 'p_value': np.float64(0.05286933671836031)}","{'correlation': np.float64(0.3176459913524293), 'p_value': np.float64(0.037925188411142466)}","{'correlation': np.float64(0.027520532159611782), 'p_value': np.float64(0.860938583843401)}"
DJI,"{'correlation': np.float64(0.44117647058823534), 'p_value': np.float64(0.08715363626051087)}","{'correlation': np.float64(0.4441176470588235), 'p_value': np.float64(0.08482274417741585)}","{'correlation': np.float64(0.3764705882352941), 'p_value': np.float64(0.1506481152876309)}"
DMA,"{'correlation': np.float64(0.5232198142414861), 'p_value': np.float64(0.025867451500141986)}","{'correlation': np.float64(0.5252837977296182), 'p_value': np.float64(0.02518359155961345)}","{'correlation': np.float64(0.3353973168214654), 'p_value': np.float64(0.17363506116754215)}"
DNK,"{'correlation': np.float64(0.4367917963437007), 'p_value': np.float64(0.004299613342482351)}","{'correlation': np.float64(0.5152459658068316), 'p_value': np.float64(0.0005663058481919569)}","{'correlation': np.float64(0.16129038387941044), 'p_value': np.float64(0.3137236592155051)}"
DOM,"{'correlation': np.float64(0.6008720679442685), 'p_value': np.float64(3.268544125113251e-05)}","{'correlation': np.float64(0.6615458124898517), 'p_value': np.float64(2.4864506647546496e-06)}","{'correlation': np.float64(0.48404551962080367), 'p_value': np.float64(0.0013433560580782228)}"
DZA,"{'correlation': np.float64(0.09045444875715226), 'p_value': np.float64(0.6742357289288159)}","{'correlation': np.float64(0.48532290775472076), 'p_value': np.float64(0.016217831258207794)}","{'correlation': np.float64(0.019134594929397595), 'p_value': np.float64(0.9292856791741451)}"
ECU,"{'correlation': np.float64(0.49465973597421276), 'p_value': np.float64(0.0018569296829975288)}","{'correlation': np.float64(0.4816867813262123), 'p_value': np.float64(0.0025398493280214493)}","{'correlation': np.float64(0.3876100522293135), 'p_value': np.float64(0.017772850099257394)}"
EGY,"{'correlation': np.float64(0.5026276207414724), 'p_value': np.float64(0.0013002388501074157)}","{'correlation': np.float64(0.5206487952263052), 'p_value': np.float64(0.0008049315394751248)}","{'correlation': np.float64(0.3690607078021136), 'p_value': np.float64(0.02259541108617242)}"
ERI,"{'correlation': np.float64(0.15673441939859545), 'p_value': np.float64(0.5925832536171272)}","{'correlation': np.float64(0.18322474380399187), 'p_value': np.float64(0.5306653550121911)}","{'correlation': np.float64(0.028697851439179446), 'p_value': np.float64(0.9224205466669382)}"
ESP,"{'correlation': np.float64(0.49006584925226776), 'p_value': np.float64(0.0009864564867778684)}","{'correlation': np.float64(0.5201449639337123), 'p_value': np.float64(0.0004144207424672824)}","{'correlation': np.float64(0.3599871429473468), 'p_value': np.float64(0.019196608972218775)}"
EST,"{'correlation': np.float64(0.4747067627316879), 'p_value': np.float64(0.0019683768890761087)}","{'correlation': np.float64(0.6035683411882449), 'p_value': np.float64(3.7413361500080605e-05)}","{'correlation': np.float64(0.1186297643520865), 'p_value': np.float64(0.46595907061707476)}"
ETH,"{'correlation': np.float64(0.6752136752136753), 'p_value': np.float64(0.00011155620745014242)}","{'correlation': np.float64(0.7122576788829974), 'p_value': np.float64(3.0807443950161835e-05)}","{'correlation': np.float64(0.5366300366300365), 'p_value': np.float64(0.0039046120544153386)}"
FIN,"{'correlation': np.float64(0.3156808903352333), 'p_value': np.float64(0.047222818150043706)}","{'correlation': np.float64(0.4653048339057099), 'p_value': np.float64(0.0024829572365409384)}","{'correlation': np.float64(0.11793432428942682), 'p_value': np.float64(0.468595967766008)}"
FJI,"{'correlation': np.float64(0.7278632478632477), 'p_value': np.float64(2.506180897608774e-05)}","{'correlation': np.float64(0.7852991452991451), 'p_value': np.float64(2.0181284899500746e-06)}","{'correlation': np.float64(0.46529914529914523), 'p_value': np.float64(0.016606411310020247)}"
FLK,"{'correlation': np.float64(0.4285714285714286), 'p_value': np.float64(0.2894032248467901)}","{'correlation': np.float64(0.6190476190476191), 'p_value': np.float64(0.1017330374542646)}","{'correlation': np.float64(-0.09523809523809526), 'p_value': np.float64(0.8225054302036114)}"
FRA,"{'correlation': np.float64(0.4475110710240169), 'p_value': np.float64(0.0026218400567485614)}","{'correlation': np.float64(0.5355641559772498), 'p_value': np.float64(0.00021489191503874715)}","{'correlation': np.float64(0.2483652421547382), 'p_value': np.float64(0.10829037250238528)}"
FRO,"{'correlation': np.float64(0.29975520454592824), 'p_value': np.float64(0.24244110909412345)}","{'correlation': np.float64(0.5184290832720562), 'p_value': np.float64(0.033002939626628404)}","{'correlation': np.float64(0.18427574049954606), 'p_value': np.float64(0.47893586942282895)}"
FSM,"{'correlation': np.float64(0.30876278181527933), 'p_value': np.float64(0.1420986897693344)}","{'correlation': np.float64(0.3548597605088281), 'p_value': np.float64(0.08884309752729871)}","{'correlation': np.float64(-0.08436616855234394), 'p_value': np.float64(0.6950994113960479)}"
GAB,"{'correlation': np.float64(-0.13925157580232184), 'p_value': np.float64(0.5163730663296233)}","{'correlation': np.float64(0.3106761185785316), 'p_value': np.float64(0.13951613335705276)}","{'correlation': np.float64(-0.27067025046576304), 'p_value': np.float64(0.20080554166822445)}"
GBR,"{'correlation': np.float64(0.3026502478981483), 'p_value': np.float64(0.0485336993042607)}","{'correlation': np.float64(0.37984346750576353), 'p_value': np.float64(0.011992820766195313)}","{'correlation': np.float64(0.09216354039166694), 'p_value': np.float64(0.5566655952059588)}"
GEO,"{'correlation': np.float64(0.5078876471363187), 'p_value': np.float64(0.0013321343480077832)}","{'correlation': np.float64(0.6358893630877716), 'p_value': np.float64(2.343124109034745e-05)}","{'correlation': np.float64(0.278970515194914), 'p_value': np.float64(0.0945145845973738)}"
GHA,"{'correlation': np.float64(0.3396570851371586), 'p_value': np.float64(0.061563353830398)}","{'correlation': np.float64(0.42545541364319517), 'p_value': np.float64(0.01702696819181564)}","{'correlation': np.float64(0.16044407764945992), 'p_value': np.float64(0.3885718420786911)}"
GIB,"{'correlation': np.float64(0.16666666666666669), 'p_value': np.float64(0.668231040071504)}","{'correlation': np.float64(0.16666666666666669), 'p_value': np.float64(0.668231040071504)}","{'correlation': np.float64(0.016666666666666666), 'p_value': np.float64(0.9660548039946861)}"
GIN,"{'correlation': np.float64(0.5351029143031545), 'p_value': np.float64(0.005847226678812519)}","{'correlation': np.float64(0.517920036531861), 'p_value': np.float64(0.008003757823368544)}","{'correlation': np.float64(0.27966917232091537), 'p_value': np.float64(0.17575029567104833)}"
GLP,"{'correlation': np.float64(0.32794285884414426), 'p_value': np.float64(0.1580781433300205)}","{'correlation': np.float64(0.3373497801635436), 'p_value': np.float64(0.14578723066402174)}","{'correlation': np.float64(-0.09778112763701549), 'p_value': np.float64(0.6817187709435535)}"
GMB,"{'correlation': np.float64(0.24962406015037594), 'p_value': np.float64(0.28851258969719185)}","{'correlation': np.float64(0.4324934491637223), 'p_value': np.float64(0.05683995456726474)}","{'correlation': np.float64(-0.13383458646616542), 'p_value': np.float64(0.5737559530736434)}"
GNB,"{'correlation': np.float64(0.3), 'p_value': np.float64(0.6238376647810728)}","{'correlation': np.float64(0.3), 'p_value': np.float64(0.6238376647810728)}","{'correlation': np.float64(-0.3), 'p_value': np.float64(0.6238376647810728)}"
GNQ,"{'correlation': np.float64(-0.6957252427829382), 'p_value': np.float64(0.12478933744028686)}","{'correlation': np.float64(-0.5217939320872036), 'p_value': np.float64(0.28834323380039373)}","{'correlation': np.float64(-0.6957252427829382), 'p_value': np.float64(0.12478933744028686)}"
GRC,"{'correlation': np.float64(0.5444784962766399), 'p_value': np.float64(0.0003391614103756021)}","{'correlation': np.float64(0.5671998789700572), 'p_value': np.float64(0.00016643770754030303)}","{'correlation': np.float64(0.42451896155547475), 'p_value': np.float64(0.007068754801301195)}"
GRD,"{'correlation': np.float64(0.2735294117647059), 'p_value': np.float64(0.3053231563074052)}","{'correlation': np.float64(0.4323529411764706), 'p_value': np.float64(0.09442103753478695)}","{'correlation': np.float64(0.01764705882352941), 'p_value': np.float64(0.9482801500547112)}"
GRL,"{'correlation': np.float64(0.02097902097902098), 'p_value': np.float64(0.9484022252365223)}","{'correlation': np.float64(0.34965034965034975), 'p_value': np.float64(0.2652387868927897)}","{'correlation': np.float64(-0.2797202797202798), 'p_value': np.float64(0.37856866966230307)}"
GTM,"{'correlation': np.float64(0.44845090191584597), 'p_value': np.float64(0.003705624429405142)}","{'correlation': np.float64(0.6408976326021228), 'p_value': np.float64(8.388150594792938e-06)}","{'correlation': np.float64(0.31849779298545844), 'p_value': np.float64(0.04517925908789592)}"
GUF,"{'correlation': np.float64(0.2333333333333333), 'p_value': np.float64(0.5456987782182727)}","{'correlation': np.float64(0.26666666666666666), 'p_value': np.float64(0.4879222748387009)}","{'correlation': np.float64(-0.3), 'p_value': np.float64(0.4328453267094823)}"
GUY,"{'correlation': np.float64(0.047830498620027674), 'p_value': np.float64(0.7983282296290101)}","{'correlation': np.float64(0.375354301305345), 'p_value': np.float64(0.03745470483660811)}","{'correlation': np.float64(-0.07769933320131078), 'p_value': np.float64(0.6778031244746621)}"
HKG,"{'correlation': np.float64(0.48470136326524854), 'p_value': np.float64(0.0017657207727914312)}","{'correlation': np.float64(0.5464140414318266), 'p_value': np.float64(0.0003198355474402664)}","{'correlation': np.float64(0.2672747065831366), 'p_value': np.float64(0.0999897848975663)}"
HND,"{'correlation': np.float64(0.599952589787764), 'p_value': np.float64(8.681689701757077e-05)}","{'correlation': np.float64(0.6221224414531725), 'p_value': np.float64(3.9448642419034153e-05)}","{'correlation': np.float64(0.4424946768948489), 'p_value': np.float64(0.0060996249830027405)}"
HRV,"{'correlation': np.float64(0.6249179828343115), 'p_value': np.float64(2.740449398168474e-05)}","{'correlation': np.float64(0.6807978671010914), 'p_value': np.float64(2.557569951998438e-06)}","{'correlation': np.float64(0.436391569652692), 'p_value': np.float64(0.0061617448004858385)}"
HTI,"{'correlation': np.float64(0.5586080586080585), 'p_value': np.float64(0.002458227848842314)}","{'correlation': np.float64(0.6336996336996337), 'p_value': np.float64(0.00038715460599676564)}","{'correlation': np.float64(0.5097680097680098), 'p_value': np.float64(0.006603198695559836)}"
HUN,"{'correlation': np.float64(0.48857908716768433), 'p_value': np.float64(0.0011908535254999478)}","{'correlation': np.float64(0.6237739003587615), 'p_value': np.float64(1.3175364171542006e-05)}","{'correlation': np.float64(0.15937233607111476), 'p_value': np.float64(0.3195892571230178)}"
IDN,"{'correlation': np.float64(0.5623529945607836), 'p_value': np.float64(0.00012991608485797248)}","{'correlation': np.float64(0.7253708075009161), 'p_value': np.float64(8.104852677883172e-08)}","{'correlation': np.float64(0.2130719156518078), 'p_value': np.float64(0.18104233121937544)}"
IND,"{'correlation': np.float64(0.6041850596131428), 'p_value': np.float64(2.878427763563232e-05)}","{'correlation': np.float64(0.6681796227759097), 'p_value': np.float64(1.8103933052949494e-06)}","{'correlation': np.float64(0.38918933710145304), 'p_value': np.float64(0.011903407993587228)}"
IRL,"{'correlation': np.float64(0.48506054349576416), 'p_value': np.float64(0.0013077848736152231)}","{'correlation': np.float64(0.6816297006726219), 'p_value': np.float64(9.279395767580051e-07)}","{'correlation': np.float64(0.20257384568294323), 'p_value': np.float64(0.20400992594791617)}"
IRN,"{'correlation': np.float64(-0.03571428571428572), 'p_value': np.float64(0.9394082054712856)}","{'correlation': np.float64(-0.03571428571428572), 'p_value': np.float64(0.9394082054712856)}","{'correlation': np.float64(-0.07142857142857144), 'p_value': np.float64(0.8790481931481541)}"
IRQ,"{'correlation': np.float64(-0.23384216887746706), 'p_value': np.float64(0.30762591411677387)}","{'correlation': np.float64(0.10003248335313869), 'p_value': np.float64(0.6661617723466087)}","{'correlation': np.float64(-0.20136408986670776), 'p_value': np.float64(0.3814227986833739)}"
ISL,"{'correlation': np.float64(0.43938342953999177), 'p_value': np.float64(0.008269805377025513)}","{'correlation': np.float64(0.645442430048594), 'p_value': np.float64(2.8317147522283984e-05)}","{'correlation': np.float64(0.15627193745999707), 'p_value': np.float64(0.37000363904310385)}"
ISR,"{'correlation': np.float64(0.15917889943835467), 'p_value': np.float64(0.2412738533789735)}","{'correlation': np.float64(0.20366211823195318), 'p_value': np.float64(0.13218996464269825)}","{'correlation': np.float64(0.08437987231620434), 'p_value': np.float64(0.5363752176345365)}"
ITA,"{'correlation': np.float64(0.5358943185366163), 'p_value': np.float64(0.00021260320806766708)}","{'correlation': np.float64(0.6190994524167643), 'p_value': np.float64(9.613381400273727e-06)}","{'correlation': np.float64(0.37379535988219964), 'p_value': np.float64(0.01354352947172759)}"
JAM,"{'correlation': np.float64(0.36424770272608), 'p_value': np.float64(0.03146260657379194)}","{'correlation': np.float64(0.5960735175372718), 'p_value': np.float64(0.00015783064638807438)}","{'correlation': np.float64(0.18268423244415702), 'p_value': np.float64(0.29353639828652955)}"
JOR,"{'correlation': np.float64(0.6119361405798144), 'p_value': np.float64(9.37638221185748e-05)}","{'correlation': np.float64(0.6768590107376173), 'p_value': np.float64(8.02411799529306e-06)}","{'correlation': np.float64(0.5491734594947052), 'p_value': np.float64(0.0006342569335166565)}"
JPN,"{'correlation': np.float64(0.2850340830816935), 'p_value': np.float64(0.06393166596544643)}","{'correlation': np.float64(0.3667587153823601), 'p_value': np.float64(0.015559232271250152)}","{'correlation': np.float64(0.056704393186013294), 'p_value': np.float64(0.7179727489239237)}"
KAZ,"{'correlation': np.float64(0.34484564715779964), 'p_value': np.float64(0.039426098227116776)}","{'correlation': np.float64(0.44437391514328684), 'p_value': np.float64(0.006623650576774717)}","{'correlation': np.float64(0.19252593305446664), 'p_value': np.float64(0.2606093695551628)}"
KEN,"{'correlation': np.float64(0.25658051468393706), 'p_value': np.float64(0.12529004855845322)}","{'correlation': np.float64(0.5169020005184674), 'p_value': np.float64(0.001054118484429114)}","{'correlation': np.float64(0.10528812247658784), 'p_value': np.float64(0.535133565907824)}"
KGZ,"{'correlation': np.float64(0.5470920533897692), 'p_value': np.float64(0.003144863097168791)}","{'correlation': np.float64(0.5898336200608447), 'p_value': np.float64(0.0012034332338435893)}","{'correlation': np.float64(0.15631201525421975), 'p_value': np.float64(0.43622008834599824)}"
