,total_vs_impval,direct_vs_impval,indirect_vs_impval
BEN,"{'correlation': np.float64(0.7622377622377624), 'p_value': np.float64(0.003950448972542651)}","{'correlation': np.float64(0.8881118881118882), 'p_value': np.float64(0.00011413359814618011)}","{'correlation': np.float64(0.6013986013986015), 'p_value': np.float64(0.03858845292201944)}"
BFA,"{'correlation': np.float64(0.6147058823529412), 'p_value': np.float64(0.011279474063305006)}","{'correlation': np.float64(0.6), 'p_value': np.float64(0.014007122329599993)}","{'correlation': np.float64(0.5294117647058824), 'p_value': np.float64(0.0349520067895181)}"
BGD,"{'correlation': np.float64(0.8633934916344596), 'p_value': np.float64(4.0726156998061783e-10)}","{'correlation': np.float64(0.9117854668778669), 'p_value': np.float64(9.89703254239191e-13)}","{'correlation': np.float64(0.70249017395013), 'p_value': np.float64(1.055469659893225e-05)}"
BGR,"{'correlation': np.float64(0.6405027450659094), 'p_value': np.float64(1.956602834898129e-05)}","{'correlation': np.float64(0.6388329910033193), 'p_value': np.float64(2.0892365897019473e-05)}","{'correlation': np.float64(0.48589045710479395), 'p_value': np.float64(0.0022977955279796917)}"
BHR,"{'correlation': np.float64(0.6074481074481074), 'p_value': np.float64(0.0007784615078762696)}","{'correlation': np.float64(0.6969928336433273), 'p_value': np.float64(5.356214179885031e-05)}","{'correlation': np.float64(0.3473748473748474), 'p_value': np.float64(0.07583852238929682)}"
BHS,"{'correlation': np.float64(0.11169206877435847), 'p_value': np.float64(0.5567931381544002)}","{'correlation': np.float64(0.5290387182910549), 'p_value': np.float64(0.0026481160227712903)}","{'correlation': np.float64(-0.08966514684475392), 'p_value': np.float64(0.63749861724819)}"
BIH,"{'correlation': np.float64(0.7304483302514321), 'p_value': np.float64(4.594198006572824e-06)}","{'correlation': np.float64(0.8166036865124493), 'p_value': np.float64(3.737763543213387e-08)}","{'correlation': np.float64(0.573812440974244), 'p_value': np.float64(0.0009154315921386298)}"
BLR,"{'correlation': np.float64(0.4871794871794871), 'p_value': np.float64(0.01159498555874061)}","{'correlation': np.float64(0.647179487179487), 'p_value': np.float64(0.0003523567508048693)}","{'correlation': np.float64(0.09538461538461539), 'p_value': np.float64(0.6430008687613966)}"
BLZ,"{'correlation': np.float64(0.6774193548387096), 'p_value': np.float64(3.924763949560777e-05)}","{'correlation': np.float64(0.8067638274418801), 'p_value': np.float64(7.279953827215629e-08)}","{'correlation': np.float64(0.3886540600667408), 'p_value': np.float64(0.03379221869951787)}"
BMU,"{'correlation': np.float64(0.7288541159470537), 'p_value': np.float64(5.357031444181752e-05)}","{'correlation': np.float64(0.720591449954814), 'p_value': np.float64(7.140302018652412e-05)}","{'correlation': np.float64(0.5744727250394142), 'p_value': np.float64(0.0033251713677409822)}"
BOL,"{'correlation': np.float64(0.40201995624559334), 'p_value': np.float64(0.030628824981720704)}","{'correlation': np.float64(0.6498155371470457), 'p_value': np.float64(0.0001362126063320028)}","{'correlation': np.float64(0.18770784721761158), 'p_value': np.float64(0.3295218496674871)}"
BRA,"{'correlation': np.float64(0.2922004634685119), 'p_value': np.float64(0.06376438885880828)}","{'correlation': np.float64(0.38054569977131725), 'p_value': np.float64(0.014109665777260237)}","{'correlation': np.float64(0.19023966947562226), 'p_value': np.float64(0.23350650539019674)}"
BRB,"{'correlation': np.float64(0.4051282051282051), 'p_value': np.float64(0.04005887676201827)}","{'correlation': np.float64(0.590528304065846), 'p_value': np.float64(0.0014930161154010782)}","{'correlation': np.float64(0.26153846153846155), 'p_value': np.float64(0.19684070497583062)}"
BRN,"{'correlation': np.float64(0.3571428571428571), 'p_value': np.float64(0.11198091415054655)}","{'correlation': np.float64(0.9363636363636364), 'p_value': np.float64(4.40676072758876e-10)}","{'correlation': np.float64(0.1155844155844156), 'p_value': np.float64(0.6178368603191975)}"
BTN,"{'correlation': np.float64(0.4230769230769231), 'p_value': np.float64(0.14974854155496814)}","{'correlation': np.float64(0.8571428571428571), 'p_value': np.float64(0.0001809340887252406)}","{'correlation': np.float64(0.04395604395604395), 'p_value': np.float64(0.8866190227890784)}"
BWA,"{'correlation': np.float64(0.5636363636363637), 'p_value': np.float64(0.07095173447637536)}","{'correlation': np.float64(0.5727272727272729), 'p_value': np.float64(0.06554305260101842)}","{'correlation': np.float64(0.5181818181818182), 'p_value': np.float64(0.10249153979096383)}"
CAF,"{'correlation': np.float64(0.32417582417582413), 'p_value': np.float64(0.2798818688931399)}","{'correlation': np.float64(0.3204468796637013), 'p_value': np.float64(0.28577034206571195)}","{'correlation': np.float64(0.2582417582417582), 'p_value': np.float64(0.39428401739736163)}"
CAN,"{'correlation': np.float64(0.4096732415047642), 'p_value': np.float64(0.00781552574786004)}","{'correlation': np.float64(0.4661208483462023), 'p_value': np.float64(0.0021294422141599997)}","{'correlation': np.float64(0.2967320543126403), 'p_value': np.float64(0.05957421480645875)}"
CCK,"{'correlation': np.float64(0.6794117647058824), 'p_value': np.float64(0.003793432669159743)}","{'correlation': np.float64(0.6705882352941177), 'p_value': np.float64(0.004467208697738123)}","{'correlation': np.float64(0.5352941176470588), 'p_value': np.float64(0.03261586329402191)}"
CHE,"{'correlation': np.float64(0.48784613536562155), 'p_value': np.float64(0.0014070713773505139)}","{'correlation': np.float64(0.5939908721774794), 'p_value': np.float64(5.329844672697878e-05)}","{'correlation': np.float64(0.2930080097367199), 'p_value': np.float64(0.06652248868431422)}"
CHL,"{'correlation': np.float64(0.4794937323497854), 'p_value': np.float64(0.002010983449571105)}","{'correlation': np.float64(0.6438539920378733), 'p_value': np.float64(9.775609021290205e-06)}","{'correlation': np.float64(0.22896205466586372), 'p_value': np.float64(0.16089997054274635)}"
CHN,"{'correlation': np.float64(0.7006536612844723), 'p_value': np.float64(3.389452384324056e-07)}","{'correlation': np.float64(0.819355150107405), 'p_value': np.float64(5.77557323787318e-11)}","{'correlation': np.float64(0.16575164972177442), 'p_value': np.float64(0.30034576585663053)}"
CIV,"{'correlation': np.float64(0.39350427350427347), 'p_value': np.float64(0.04671519841112546)}","{'correlation': np.float64(0.7757264957264958), 'p_value': np.float64(3.2283445918473706e-06)}","{'correlation': np.float64(0.212991452991453), 'p_value': np.float64(0.2961698050823268)}"
CMR,"{'correlation': np.float64(0.7212420643569505), 'p_value': np.float64(4.702098488124466e-06)}","{'correlation': np.float64(0.85357005734577), 'p_value': np.float64(1.0433790840844715e-09)}","{'correlation': np.float64(0.4671841943290619), 'p_value': np.float64(0.008054648151407105)}"
COD,"{'correlation': np.float64(0.4208695652173913), 'p_value': np.float64(0.04055960072223449)}","{'correlation': np.float64(0.646086956521739), 'p_value': np.float64(0.0006483519369920585)}","{'correlation': np.float64(0.2252173913043478), 'p_value': np.float64(0.2900074275938717)}"
COG,"{'correlation': np.float64(0.17401960784313728), 'p_value': np.float64(0.5041495460552974)}","{'correlation': np.float64(0.35539215686274517), 'p_value': np.float64(0.16154091235760826)}","{'correlation': np.float64(-0.17156862745098042), 'p_value': np.float64(0.5102663098717943)}"
COK,"{'correlation': np.float64(0.7482517482517484), 'p_value': np.float64(0.005124081698753058)}","{'correlation': np.float64(0.7552447552447553), 'p_value': np.float64(0.004508435484294225)}","{'correlation': np.float64(0.21678321678321683), 'p_value': np.float64(0.49855598552418856)}"
COL,"{'correlation': np.float64(0.6696709719174511), 'p_value': np.float64(3.129186515877321e-06)}","{'correlation': np.float64(0.6620035770102793), 'p_value': np.float64(4.439209305840257e-06)}","{'correlation': np.float64(0.5754937446555081), 'p_value': np.float64(0.000126677397745004)}"
COM,"{'correlation': np.float64(0.9), 'p_value': np.float64(0.0009430623223403293)}","{'correlation': np.float64(0.8833333333333333), 'p_value': np.float64(0.0015905004234978686)}","{'correlation': np.float64(0.6333333333333333), 'p_value': np.float64(0.06708578689234565)}"
CPV,"{'correlation': np.float64(0.6740196078431374), 'p_value': np.float64(0.0030075378038459965)}","{'correlation': np.float64(0.6646230556389479), 'p_value': np.float64(0.0036082539354311597)}","{'correlation': np.float64(0.5147058823529412), 'p_value': np.float64(0.03450769883204255)}"
CRI,"{'correlation': np.float64(0.4369305616992702), 'p_value': np.float64(0.005416464214930627)}","{'correlation': np.float64(0.5848027317656802), 'p_value': np.float64(9.242413623071368e-05)}","{'correlation': np.float64(0.14031180688489076), 'p_value': np.float64(0.3942341017310528)}"
CUW,"{'correlation': np.float64(0.243859649122807), 'p_value': np.float64(0.31437156522355014)}","{'correlation': np.float64(0.40597602239975766), 'p_value': np.float64(0.08459026381436921)}","{'correlation': np.float64(0.07368421052631578), 'p_value': np.float64(0.7643412715216654)}"
CXR,"{'correlation': np.float64(0.6277749933135156), 'p_value': np.float64(0.005281044429235895)}","{'correlation': np.float64(0.6794012263162718), 'p_value': np.float64(0.001927513867483918)}","{'correlation': np.float64(0.27052146093444257), 'p_value': np.float64(0.27759649716056095)}"
CYM,"{'correlation': np.float64(0.5253846153846153), 'p_value': np.float64(0.006997085226581306)}","{'correlation': np.float64(0.572417783237307), 'p_value': np.float64(0.0027882170936546643)}","{'correlation': np.float64(0.26615384615384613), 'p_value': np.float64(0.19844887309568143)}"
CYP,"{'correlation': np.float64(0.559618735738677), 'p_value': np.float64(0.000868033147793593)}","{'correlation': np.float64(0.684263590079424), 'p_value': np.float64(1.5712782606253255e-05)}","{'correlation': np.float64(0.19264962045900735), 'p_value': np.float64(0.29080010409957474)}"
CZE,"{'correlation': np.float64(0.4641567365217658), 'p_value': np.float64(0.0033307377593067232)}","{'correlation': np.float64(0.596890827332282), 'p_value': np.float64(7.633417428020406e-05)}","{'correlation': np.float64(0.06314983187292122), 'p_value': np.float64(0.7064307270163572)}"
DEU,"{'correlation': np.float64(0.3233987235107807), 'p_value': np.float64(0.0391589512262661)}","{'correlation': np.float64(0.3482128611969542), 'p_value': np.float64(0.02567872957474646)}","{'correlation': np.float64(0.015599130021134396), 'p_value': np.float64(0.9228851939484218)}"
DJI,"{'correlation': np.float64(0.6964285714285713), 'p_value': np.float64(0.003921190506879554)}","{'correlation': np.float64(0.7), 'p_value': np.float64(0.0036660678988013817)}","{'correlation': np.float64(0.6714285714285713), 'p_value': np.float64(0.0061277667888201)}"
DMA,"{'correlation': np.float64(0.8088235294117647), 'p_value': np.float64(8.459695101481672e-05)}","{'correlation': np.float64(0.8112745098039217), 'p_value': np.float64(7.738036180608982e-05)}","{'correlation': np.float64(0.5857843137254902), 'p_value': np.float64(0.013478995289806905)}"
DNK,"{'correlation': np.float64(0.5047396144663934), 'p_value': np.float64(0.0008957576895991488)}","{'correlation': np.float64(0.585727957736819), 'p_value': np.float64(7.16859563937913e-05)}","{'correlation': np.float64(0.21492259522648582), 'p_value': np.float64(0.18292199728210173)}"
DOM,"{'correlation': np.float64(0.6535736112906599), 'p_value': np.float64(6.4471965607989106e-06)}","{'correlation': np.float64(0.7175282304858883), 'p_value': np.float64(2.7407782001386176e-07)}","{'correlation': np.float64(0.5272322440523167), 'p_value': np.float64(0.0005633456609569231)}"
DZA,"{'correlation': np.float64(0.313382269904009), 'p_value': np.float64(0.155560751936561)}","{'correlation': np.float64(0.7752682100508189), 'p_value': np.float64(2.2569555621554774e-05)}","{'correlation': np.float64(0.22868435911914178), 'p_value': np.float64(0.30599593936021585)}"
ECU,"{'correlation': np.float64(0.7021574946396587), 'p_value': np.float64(2.5897365246808073e-06)}","{'correlation': np.float64(0.6830301248015326), 'p_value': np.float64(6.152213240959728e-06)}","{'correlation': np.float64(0.5864388013889887), 'p_value': np.float64(0.0002137263621008924)}"
EGY,"{'correlation': np.float64(0.5738676945796004), 'p_value': np.float64(0.00020444629759806468)}","{'correlation': np.float64(0.5912704159211932), 'p_value': np.float64(0.00011640365207650083)}","{'correlation': np.float64(0.43798910408616604), 'p_value': np.float64(0.006703449397921922)}"
ERI,"{'correlation': np.float64(0.374140656558896), 'p_value': np.float64(0.2078784368558637)}","{'correlation': np.float64(0.4071530674317398), 'p_value': np.float64(0.167337113419211)}","{'correlation': np.float64(0.25859721850394285), 'p_value': np.float64(0.39361026948777245)}"
ESP,"{'correlation': np.float64(0.5489325139839417), 'p_value': np.float64(0.00020209058048239648)}","{'correlation': np.float64(0.5785529661750095), 'p_value': np.float64(7.426333197613284e-05)}","{'correlation': np.float64(0.412636204749002), 'p_value': np.float64(0.0073384238602078045)}"
EST,"{'correlation': np.float64(0.5304717662891973), 'p_value': np.float64(0.0005131870247022008)}","{'correlation': np.float64(0.6668355285160162), 'p_value': np.float64(3.565365836974726e-06)}","{'correlation': np.float64(0.15731929862851388), 'p_value': np.float64(0.3388360444969589)}"
ETH,"{'correlation': np.float64(0.8413675213675212), 'p_value': np.float64(7.278794195334359e-08)}","{'correlation': np.float64(0.8625641025641025), 'p_value': np.float64(1.46041149056701e-08)}","{'correlation': np.float64(0.6888888888888889), 'p_value': np.float64(9.963379762569437e-05)}"
FIN,"{'correlation': np.float64(0.35159498177792076), 'p_value': np.float64(0.028171984358429464)}","{'correlation': np.float64(0.5090174851681875), 'p_value': np.float64(0.0009356927823772077)}","{'correlation': np.float64(0.1464303985169566), 'p_value': np.float64(0.3737272164644527)}"
FJI,"{'correlation': np.float64(0.8553846153846153), 'p_value': np.float64(5.098977369778637e-08)}","{'correlation': np.float64(0.9199999999999999), 'p_value': np.float64(7.81567079807412e-11)}","{'correlation': np.float64(0.5807692307692308), 'p_value': np.float64(0.0023340730550554622)}"
FLK,"{'correlation': np.float64(0.7500000000000002), 'p_value': np.float64(0.05218140045705776)}","{'correlation': np.float64(0.9642857142857145), 'p_value': np.float64(0.0004541491691941689)}","{'correlation': np.float64(0.14285714285714288), 'p_value': np.float64(0.7599453002180929)}"
FRA,"{'correlation': np.float64(0.5132026630975444), 'p_value': np.float64(0.0006007921201402883)}","{'correlation': np.float64(0.6106366749683193), 'p_value': np.float64(2.2380711728862257e-05)}","{'correlation': np.float64(0.2841830335135154), 'p_value': np.float64(0.07174766348969132)}"
FRO,"{'correlation': np.float64(0.4017661131838401), 'p_value': np.float64(0.12294010274855478)}","{'correlation': np.float64(0.6637235056626809), 'p_value': np.float64(0.005055118789637942)}","{'correlation': np.float64(0.27520242917720916), 'p_value': np.float64(0.3022553591884895)}"
FSM,"{'correlation': np.float64(0.4594861660079051), 'p_value': np.float64(0.02740092263968177)}","{'correlation': np.float64(0.5118577075098815), 'p_value': np.float64(0.012533636281864734)}","{'correlation': np.float64(0.018774703557312256), 'p_value': np.float64(0.9322405344278781)}"
GAB,"{'correlation': np.float64(0.0536420101637493), 'p_value': np.float64(0.8125892965812408)}","{'correlation': np.float64(0.5772380913605707), 'p_value': np.float64(0.004910268714055076)}","{'correlation': np.float64(-0.10333145115753813), 'p_value': np.float64(0.6472364124252026)}"
GBR,"{'correlation': np.float64(0.4159477519043267), 'p_value': np.float64(0.006835097454058556)}","{'correlation': np.float64(0.5013079498954648), 'p_value': np.float64(0.0008414624003829753)}","{'correlation': np.float64(0.1832679912538862), 'p_value': np.float64(0.25140491158736844)}"
GEO,"{'correlation': np.float64(0.6040164978777077), 'p_value': np.float64(9.594031558511032e-05)}","{'correlation': np.float64(0.7397297090544454), 'p_value': np.float64(2.5400963165205e-07)}","{'correlation': np.float64(0.361997952266009), 'p_value': np.float64(0.030043674092285918)}"
GHA,"{'correlation': np.float64(0.5623845343803244), 'p_value': np.float64(0.001496322573375876)}","{'correlation': np.float64(0.6500740069963893), 'p_value': np.float64(0.00013510065180310355)}","{'correlation': np.float64(0.35792585565247986), 'p_value': np.float64(0.0565971857393262)}"
GIB,"{'correlation': np.float64(0.6666666666666669), 'p_value': np.float64(0.07098765432098751)}","{'correlation': np.float64(0.6666666666666669), 'p_value': np.float64(0.07098765432098751)}","{'correlation': np.float64(0.4523809523809524), 'p_value': np.float64(0.260404767436885)}"
GIN,"{'correlation': np.float64(0.6721739130434782), 'p_value': np.float64(0.00032109658002555796)}","{'correlation': np.float64(0.644908860434503), 'p_value': np.float64(0.0006682389803454689)}","{'correlation': np.float64(0.4104347826086956), 'p_value': np.float64(0.04635539124201927)}"
GLP,"{'correlation': np.float64(0.519298245614035), 'p_value': np.float64(0.02269420152703128)}","{'correlation': np.float64(0.5151382681081585), 'p_value': np.float64(0.024000036393495284)}","{'correlation': np.float64(0.04035087719298246), 'p_value': np.float64(0.8697227104002634)}"
GMB,"{'correlation': np.float64(0.3192982456140351), 'p_value': np.float64(0.1826959462168637)}","{'correlation': np.float64(0.5228070175438596), 'p_value': np.float64(0.021636910536196267)}","{'correlation': np.float64(-0.07368421052631578), 'p_value': np.float64(0.7643412715216654)}"
GNB,"{'correlation': np.float64(0.39999999999999997), 'p_value': np.float64(0.6)}","{'correlation': np.float64(0.39999999999999997), 'p_value': np.float64(0.6)}","{'correlation': np.float64(-0.39999999999999997), 'p_value': np.float64(0.6)}"
GNQ,"{'correlation': np.float64(0.0), 'p_value': np.float64(1.0)}","{'correlation': np.float64(0.6000000000000001), 'p_value': np.float64(0.3999999999999999)}","{'correlation': np.float64(0.0), 'p_value': np.float64(1.0)}"
GRC,"{'correlation': np.float64(0.6338954310810553), 'p_value': np.float64(1.932045517132078e-05)}","{'correlation': np.float64(0.6591087315120301), 'p_value': np.float64(6.8048301069844795e-06)}","{'correlation': np.float64(0.5060215341030462), 'p_value': np.float64(0.0011903299996473078)}"
GRD,"{'correlation': np.float64(0.4964285714285714), 'p_value': np.float64(0.05979741374992401)}","{'correlation': np.float64(0.6857142857142856), 'p_value': np.float64(0.004772245222691258)}","{'correlation': np.float64(0.21428571428571427), 'p_value': np.float64(0.44314093482351424)}"
GRL,"{'correlation': np.float64(0.22727272727272727), 'p_value': np.float64(0.501535667604937)}","{'correlation': np.float64(0.6545454545454547), 'p_value': np.float64(0.028864598957001886)}","{'correlation': np.float64(-0.10909090909090911), 'p_value': np.float64(0.7495085962341482)}"
GTM,"{'correlation': np.float64(0.6077487285794307), 'p_value': np.float64(5.192276267473388e-05)}","{'correlation': np.float64(0.809837269747123), 'p_value': np.float64(7.384659103460689e-10)}","{'correlation': np.float64(0.45802781003149967), 'p_value': np.float64(0.003831866500952327)}"
GUF,"{'correlation': np.float64(0.4047619047619048), 'p_value': np.float64(0.3198886412288162)}","{'correlation': np.float64(0.4523809523809524), 'p_value': np.float64(0.260404767436885)}","{'correlation': np.float64(-0.2142857142857143), 'p_value': np.float64(0.6103444156452669)}"
GUY,"{'correlation': np.float64(0.2537258302285301), 'p_value': np.float64(0.18414219565746098)}","{'correlation': np.float64(0.6288812986560977), 'p_value': np.float64(0.00025823051436816256)}","{'correlation': np.float64(0.10050498906139833), 'p_value': np.float64(0.6039385025166726)}"
HKG,"{'correlation': np.float64(0.5589281636876521), 'p_value': np.float64(0.0003235081034505693)}","{'correlation': np.float64(0.635274693615629), 'p_value': np.float64(2.3995543027974017e-05)}","{'correlation': np.float64(0.30448186770256486), 'p_value': np.float64(0.06690646966023572)}"
HND,"{'correlation': np.float64(0.6897483764845939), 'p_value': np.float64(3.2657412347509178e-06)}","{'correlation': np.float64(0.7124277072578676), 'p_value': np.float64(1.094796719167173e-06)}","{'correlation': np.float64(0.5244867762968316), 'p_value': np.float64(0.0010246159008095782)}"
HRV,"{'correlation': np.float64(0.7028693581545188), 'p_value': np.float64(1.2327090744011495e-06)}","{'correlation': np.float64(0.7605267616623251), 'p_value': np.float64(4.7124012423984164e-08)}","{'correlation': np.float64(0.5043870191614918), 'p_value': np.float64(0.0014564086322336604)}"
HTI,"{'correlation': np.float64(0.6895726495726495), 'p_value': np.float64(9.742665583386127e-05)}","{'correlation': np.float64(0.7736752136752136), 'p_value': np.float64(3.559782183897065e-06)}","{'correlation': np.float64(0.6437606837606837), 'p_value': np.float64(0.0003875836820057348)}"
HUN,"{'correlation': np.float64(0.5626467067173723), 'p_value': np.float64(0.00015744372915846332)}","{'correlation': np.float64(0.7061035976564408), 'p_value': np.float64(3.5791663904838994e-07)}","{'correlation': np.float64(0.21013610948126715), 'p_value': np.float64(0.19310042517434828)}"
IDN,"{'correlation': np.float64(0.5896040636742971), 'p_value': np.float64(6.244380917990862e-05)}","{'correlation': np.float64(0.761238938813112), 'p_value': np.float64(1.180205924626526e-08)}","{'correlation': np.float64(0.22593357500440922), 'p_value': np.float64(0.16096904847382532)}"
IND,"{'correlation': np.float64(0.6340685822489687), 'p_value': np.float64(1.1190780905705613e-05)}","{'correlation': np.float64(0.7008453793760205), 'p_value': np.float64(4.759822323779992e-07)}","{'correlation': np.float64(0.4101361315020712), 'p_value': np.float64(0.008577863811922123)}"
IRL,"{'correlation': np.float64(0.5559494383527607), 'p_value': np.float64(0.00023829303892702183)}","{'correlation': np.float64(0.7766974604497062), 'p_value': np.float64(6.1657058972040875e-09)}","{'correlation': np.float64(0.22886078883009822), 'p_value': np.float64(0.161090299428526)}"
IRN,"{'correlation': np.float64(0.4285714285714286), 'p_value': np.float64(0.3965014577259474)}","{'correlation': np.float64(0.4285714285714286), 'p_value': np.float64(0.3965014577259474)}","{'correlation': np.float64(0.3714285714285715), 'p_value': np.float64(0.46847813411078715)}"
IRQ,"{'correlation': np.float64(-0.007017543859649123), 'p_value': np.float64(0.9772535735987999)}","{'correlation': np.float64(0.443859649122807), 'p_value': np.float64(0.0569517005585568)}","{'correlation': np.float64(0.04385964912280702), 'p_value': np.float64(0.8584985542787698)}"
ISL,"{'correlation': np.float64(0.49992360580952816), 'p_value': np.float64(0.002607826248418838)}","{'correlation': np.float64(0.7181959285472234), 'p_value': np.float64(1.7328091300876936e-06)}","{'correlation': np.float64(0.19944980299034984), 'p_value': np.float64(0.2581014537485507)}"
ISR,"{'correlation': np.float64(0.5585823500826645), 'p_value': np.float64(0.00021934858540690374)}","{'correlation': np.float64(0.629455997255294), 'p_value': np.float64(1.764558725829616e-05)}","{'correlation': np.float64(0.37974688412073815), 'p_value': np.float64(0.017104699622852264)}"
ITA,"{'correlation': np.float64(0.59599134198066), 'p_value': np.float64(3.93155881127118e-05)}","{'correlation': np.float64(0.6906715789690213), 'p_value': np.float64(5.804162235922974e-07)}","{'correlation': np.float64(0.41054470128248116), 'p_value': np.float64(0.00767250717828467)}"
JAM,"{'correlation': np.float64(0.44434257903383706), 'p_value': np.float64(0.008470099142644065)}","{'correlation': np.float64(0.6854742064460724), 'p_value': np.float64(7.702022556062563e-06)}","{'correlation': np.float64(0.24998090072192483), 'p_value': np.float64(0.15390925004255054)}"
JOR,"{'correlation': np.float64(0.7147986880056016), 'p_value': np.float64(2.042280878452962e-06)}","{'correlation': np.float64(0.7744650581417258), 'p_value': np.float64(7.679076325416006e-08)}","{'correlation': np.float64(0.6490946615322352), 'p_value': np.float64(3.284786271706707e-05)}"
JPN,"{'correlation': np.float64(0.2922004634685119), 'p_value': np.float64(0.06376438885880828)}","{'correlation': np.float64(0.3855595148739012), 'p_value': np.float64(0.01279121950557643)}","{'correlation': np.float64(0.03337690948656131), 'p_value': np.float64(0.835881120622951)}"
KAZ,"{'correlation': np.float64(0.5436344438595205), 'p_value': np.float64(0.000890890549677103)}","{'correlation': np.float64(0.6602448412746242), 'p_value': np.float64(2.1499007645247674e-05)}","{'correlation': np.float64(0.3697081022480125), 'p_value': np.float64(0.03139593505842235)}"
KEN,"{'correlation': np.float64(0.34017633122761365), 'p_value': np.float64(0.0423548609262754)}","{'correlation': np.float64(0.614572625930984), 'p_value': np.float64(6.673485088986837e-05)}","{'correlation': np.float64(0.17697406562163026), 'p_value': np.float64(0.3018151628003369)}"
KGZ,"{'correlation': np.float64(0.6246153846153845), 'p_value': np.float64(0.0006474658947659166)}","{'correlation': np.float64(0.671111111111111), 'p_value': np.float64(0.00017483628043564258)}","{'correlation': np.float64(0.20957264957264954), 'p_value': np.float64(0.3041724576876233)}"
